Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)|Wind's direction(°)|Wind's cardinal direction|Wind's speed(Beaufort)|Wind gust(Beaufort)|Wind gust(km/h)|Feel-like temperature
2019-09-06|00:00:00|0.18|0.0|0.0|12.77|22.18|0.284|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:01:00|0.17|0.0|0.0|12.77|22.2|0.284|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:02:00|0.18|0.0|0.0|12.77|22.15|0.284|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:03:00|0.17|0.0|0.0|12.77|22.17|0.227|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:04:00|0.18|0.0|0.0|12.77|22.17|0.227|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:05:00|0.16|0.0|0.0|12.76|22.14|0.227|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:06:00|0.18|0.0|0.0|12.77|22.18|0.284|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:07:00|0.17|0.0|0.0|12.77|22.19|0.284|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:08:00|0.17|0.0|0.0|12.76|22.18|0.227|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:09:00|0.17|0.0|0.0|12.77|22.15|0.227|26.5|38.9|mdr2__|12.0|90|0|3.0|1023.4|1.0|90|220|sw|2|4|22|12.0
2019-09-06|00:10:00|0.16|0.0|0.0|12.77|22.13|0.284|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:11:00|0.18|0.0|0.0|12.77|22.17|0.284|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:12:00|0.18|0.0|0.0|12.77|22.14|0.284|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:13:00|0.18|0.0|0.0|12.77|22.15|0.284|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:14:00|0.17|0.0|0.0|12.77|22.17|0.284|26.5|39.0|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:15:00|0.17|0.0|0.0|12.77|22.15|0.227|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:16:00|0.16|0.0|0.0|12.77|22.17|0.227|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:17:00|0.18|0.0|0.0|12.77|22.16|0.284|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:18:00|0.18|0.0|0.0|12.77|22.16|0.284|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:19:00|0.18|0.0|0.0|12.77|22.13|0.284|26.5|38.9|mdr2__|11.7|90|0|3.0|1023.5|1.0|90|220|sw|2|4|22|11.7
2019-09-06|00:20:00|0.17|0.0|0.0|12.77|22.12|0.284|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:21:00|0.17|0.0|0.0|12.77|22.13|0.227|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:22:00|0.17|0.0|0.0|12.77|22.16|0.227|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:23:00|0.18|0.0|0.0|12.77|22.15|0.284|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:24:00|0.18|0.0|0.0|12.77|22.13|0.227|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:25:00|0.18|0.0|0.0|12.77|22.14|0.227|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:26:00|0.18|0.0|0.0|12.77|22.12|0.227|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:27:00|0.18|0.0|0.0|12.77|22.14|0.227|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:28:00|0.18|0.0|0.0|12.77|22.12|0.227|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:29:00|0.17|0.0|0.0|12.77|22.14|0.284|26.5|38.9|mdr2__|11.6|90|0|3.0|1023.6|0.8|90|220|sw|2|4|23|11.6
2019-09-06|00:30:00|0.16|0.0|0.0|12.77|22.14|0.284|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:31:00|0.16|0.0|0.0|12.76|22.13|0.227|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:32:00|0.17|0.0|0.0|12.76|22.11|0.227|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:33:00|0.17|0.0|0.0|12.76|22.1|0.227|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:34:00|0.18|0.0|0.0|12.77|22.1|0.227|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:35:00|0.17|0.0|0.0|12.77|22.11|0.227|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:36:00|0.16|0.0|0.0|12.77|22.1|0.227|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:37:00|0.18|0.0|0.0|12.76|22.13|0.227|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:38:00|0.16|0.0|0.0|12.77|22.11|0.284|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:39:00|0.16|0.0|0.0|12.77|22.13|0.284|26.5|38.9|mdr2__|11.0|90|0|2.9|1023.6|0.6|80|220|sw|2|4|23|11.0
2019-09-06|00:40:00|0.18|0.0|0.0|12.77|22.13|0.284|26.5|38.9|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:41:00|0.17|0.0|0.0|12.77|22.13|0.227|26.4|38.9|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:42:00|0.17|0.0|0.0|12.77|22.09|0.227|26.5|38.9|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:43:00|0.18|0.0|0.0|12.77|22.13|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:44:00|0.18|0.0|0.0|12.77|22.11|0.227|26.5|38.9|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:45:00|0.18|0.0|0.0|12.77|22.09|0.284|26.4|38.9|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:46:00|0.16|0.0|0.0|12.76|22.12|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:47:00|0.19|0.0|0.0|12.76|22.11|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:48:00|0.18|0.0|0.0|12.77|22.11|0.284|26.4|38.9|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:49:00|0.16|0.0|0.0|12.77|22.08|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:50:00|0.18|0.0|0.0|12.76|22.07|0.284|26.4|38.9|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:51:00|0.18|0.0|0.0|12.77|22.11|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:52:00|0.17|0.0|0.0|12.76|22.1|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:53:00|0.17|0.0|0.0|12.77|22.11|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:54:00|0.16|0.0|0.0|12.77|22.07|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:55:00|0.17|0.0|0.0|12.77|22.07|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:56:00|0.17|0.0|0.0|12.77|22.07|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:57:00|0.18|0.0|0.0|12.76|22.1|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:58:00|0.16|0.0|0.0|12.77|22.08|0.227|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|00:59:00|0.18|0.0|0.0|12.76|22.1|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:00:00|0.19|0.0|0.0|12.77|22.1|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:01:00|0.17|0.0|0.0|12.77|22.06|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:02:00|0.16|0.0|0.0|12.76|22.07|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:03:00|0.17|0.0|0.0|12.76|22.1|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:04:00|0.16|0.0|0.0|12.77|22.09|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:05:00|0.2|0.0|0.0|12.76|22.09|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:06:00|0.18|0.0|0.0|12.76|22.05|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:07:00|0.18|0.0|0.0|12.76|22.07|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:08:00|0.16|0.0|0.0|12.77|22.08|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:09:00|0.17|0.0|0.0|12.77|22.04|0.284|26.4|39.0|mdr2__|10.9|90|0|2.9|1023.6|0.3|70|220|sw|2|4|23|10.9
2019-09-06|01:10:00|0.18|0.0|0.0|12.76|22.08|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:11:00|0.16|0.0|0.0|12.76|22.05|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:12:00|0.17|0.0|0.0|12.77|22.08|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:13:00|0.18|0.0|0.0|12.77|22.04|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:14:00|0.18|0.0|0.0|12.76|22.04|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:15:00|0.18|0.0|0.0|12.76|22.08|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:16:00|0.18|0.0|0.0|12.77|22.04|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:17:00|0.16|0.0|0.0|12.77|22.07|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:18:00|0.19|0.0|0.0|12.77|22.07|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:19:00|0.16|0.0|0.0|12.76|22.04|0.284|26.4|39.0|mdr1__|10.8|90|0|2.8|1023.6|0.2|60|220|sw|2|4|23|10.8
2019-09-06|01:20:00|0.16|0.0|0.0|12.76|22.05|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:21:00|0.16|0.0|0.0|12.76|22.06|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:22:00|0.19|0.0|0.0|12.76|22.04|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:23:00|0.18|0.0|0.0|12.76|22.06|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:24:00|0.16|0.0|0.0|12.76|22.03|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:25:00|0.16|0.0|0.0|12.76|22.03|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:26:00|0.16|0.0|0.0|12.77|22.05|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:27:00|0.17|0.0|0.0|12.77|22.06|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:28:00|0.17|0.0|0.0|12.76|22.05|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:29:00|0.16|0.0|0.0|12.76|22.02|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:30:00|0.16|0.0|0.0|12.76|22.03|0.227|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:31:00|0.16|0.0|0.0|12.76|22.05|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:32:00|0.16|0.0|0.0|12.77|22.05|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:33:00|0.17|0.0|0.0|12.76|22.01|0.227|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:34:00|0.18|0.0|0.0|12.76|22.04|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:35:00|0.19|0.0|0.0|12.77|22.04|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:36:00|0.16|0.0|0.0|12.77|22.0|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:37:00|0.16|0.0|0.0|12.76|22.04|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:38:00|0.17|0.0|0.0|12.77|22.01|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:39:00|0.17|0.0|0.0|12.77|22.02|0.284|26.4|39.0|md____|10.8|90|0|2.8|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:40:00|0.17|0.0|0.0|12.76|22.04|0.284|26.4|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:41:00|0.16|0.0|0.0|12.76|22.04|0.284|26.4|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:42:00|0.15|0.0|0.0|12.76|22.03|0.227|26.4|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:43:00|0.16|0.0|0.0|12.77|22.03|0.227|26.4|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:44:00|0.16|0.0|0.0|12.76|22.0|0.284|26.4|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:45:00|0.17|0.0|0.0|12.77|22.02|0.284|26.4|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:46:00|0.17|0.0|0.0|12.76|22.0|0.284|26.4|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:47:00|0.16|0.0|0.0|12.76|22.03|0.284|26.4|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:48:00|0.17|0.0|0.0|12.76|22.01|0.284|26.3|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:49:00|0.15|0.0|0.0|12.76|22.01|0.284|26.3|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:50:00|0.16|0.0|0.0|12.77|22.02|0.284|26.3|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:51:00|0.19|0.0|0.0|12.76|22.01|0.284|26.3|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:52:00|0.17|0.0|0.0|12.76|22.01|0.284|26.3|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
2019-09-06|01:53:00|0.17|0.0|0.0|12.76|22.01|0.284|26.3|39.0|md____|10.8|90|0|2.7|1023.6|0.0|50|220|sw|2|4|23|10.8
