Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)
2019-08-12|00:00:00|0.45|0.0|0.0|12.87|25.18|0.0|29.7|41.6|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:01:00|0.18|0.0|0.0|12.88|25.19|0.0|29.7|41.6|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:02:00|0.18|0.0|0.0|12.88|25.18|0.0|29.7|41.6|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:03:00|0.17|0.0|0.0|12.87|25.16|0.0|29.7|41.6|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:04:00|0.18|0.0|0.0|12.87|25.17|0.0|29.7|41.6|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:05:00|0.17|0.0|0.0|12.87|25.14|0.0|29.6|41.7|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:06:00|0.18|0.0|0.0|12.87|25.16|0.0|29.6|41.8|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:07:00|0.16|0.0|0.0|12.87|25.18|0.0|29.6|41.8|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:08:00|0.17|0.0|0.0|12.87|25.17|0.0|29.6|41.8|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:09:00|0.15|0.0|0.0|12.87|25.14|0.0|29.6|41.8|mdr1__|19.6|85|0|1.4|1012.2|0.2|55
2019-08-12|00:10:00|0.17|0.0|0.0|12.87|25.16|0.0|29.6|41.8|mdr2__|18.9|90|0|2.0|1013.4|2.9|75
2019-08-12|00:11:00|0.17|0.0|0.0|12.87|25.14|0.0|29.6|41.8|mdr2__|18.9|90|0|2.0|1013.4|2.9|75
2019-08-12|00:12:00|0.18|0.0|0.0|12.87|25.17|0.0|29.6|41.8|mdr2__|18.9|90|0|2.0|1013.4|2.9|75
2019-08-12|00:13:00|0.16|0.0|0.0|12.87|25.13|0.0|29.6|41.9|mdr2__|18.9|90|0|2.0|1013.4|2.9|75
2019-08-12|00:14:00|0.16|0.0|0.0|12.87|25.12|0.0|29.6|41.9|mdr2__|18.9|90|0|2.0|1013.4|2.9|75
