Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)
2019-08-03|00:00:00|0.16|0.0|0.0|12.86|23.4|0.0|27.5|41.6|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:01:00|0.16|0.0|0.0|12.86|23.38|0.0|27.5|41.6|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:02:00|0.16|0.0|0.0|12.86|23.35|0.0|27.5|41.6|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:03:00|0.16|0.0|0.0|12.86|23.4|0.0|27.5|41.5|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:04:00|0.15|0.0|0.0|12.86|23.41|0.0|27.5|41.6|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:05:00|0.16|0.0|0.0|12.86|23.38|0.0|27.5|41.5|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:06:00|0.16|0.0|0.0|12.85|23.39|0.0|27.5|41.4|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:07:00|0.16|0.0|0.0|12.86|23.36|0.0|27.6|41.5|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:08:00|0.15|0.0|0.0|12.85|23.36|0.0|27.5|41.4|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:09:00|0.16|0.0|0.0|12.86|23.4|0.0|27.6|41.4|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:10:00|0.15|0.0|0.0|12.85|23.37|0.0|27.6|41.4|mb____|17.7|80|0|3.1|1014.6|0.0|40
2019-08-03|00:11:00|0.14|0.0|0.0|12.86|23.4|0.0|27.6|41.4|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:12:00|0.17|0.0|0.0|12.87|23.41|0.0|27.6|41.4|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:13:00|0.16|0.0|0.0|12.85|23.41|0.0|27.6|41.4|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:14:00|0.17|0.0|0.0|12.85|23.37|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:15:00|0.16|0.0|0.0|12.85|23.41|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:16:00|0.17|0.0|0.0|12.86|23.39|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:17:00|0.16|0.0|0.0|12.85|23.37|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:18:00|0.18|0.0|0.0|12.85|23.39|0.0|27.6|41.2|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:19:00|0.16|0.0|0.0|12.86|23.37|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:20:00|0.17|0.0|0.0|12.86|23.42|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:21:00|0.15|0.0|0.0|12.85|23.41|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:22:00|0.16|0.0|0.0|12.85|23.41|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:23:00|0.16|0.0|0.0|12.85|23.4|0.0|27.6|41.2|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:24:00|0.15|0.0|0.0|12.85|23.38|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:25:00|0.15|0.0|0.0|12.86|23.37|0.0|27.6|41.3|mb____|17.5|80|0|3.2|1014.7|0.0|40
2019-08-03|00:26:00|0.16|0.0|0.0|12.85|23.42|0.0|27.6|41.2|mb____|17.5|80|0|3.2|1014.7|0.0|35
2019-08-03|00:27:00|0.16|0.0|0.0|12.85|23.39|0.0|27.6|41.2|mb____|17.5|80|0|3.2|1014.7|0.0|35
