Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)
2019-08-02|00:00:00|0.16|0.0|0.0|12.88|23.97|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:01:00|0.16|0.0|0.0|12.87|23.98|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:02:00|0.17|0.0|0.0|12.87|24.01|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:03:00|0.16|0.0|0.0|12.88|23.98|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:04:00|0.16|0.0|0.0|12.88|23.97|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:05:00|0.17|0.0|0.0|12.87|23.98|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:06:00|0.15|0.0|0.0|12.87|23.98|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:07:00|0.15|0.0|0.0|12.88|24.02|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:08:00|0.17|0.0|0.0|12.88|23.99|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:09:00|0.16|0.0|0.0|12.88|23.98|0.0|28.4|40.5|mo____|17.2|65|0|2.0|1016.0|0.0|15
2019-08-02|00:10:00|0.14|0.0|0.0|12.87|23.98|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:11:00|0.16|0.0|0.0|12.88|24.02|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:12:00|0.15|0.0|0.0|12.87|23.99|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:13:00|0.15|0.0|0.0|12.88|24.02|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:14:00|0.16|0.0|0.0|12.87|23.98|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:15:00|0.16|0.0|0.0|12.88|23.99|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:16:00|0.18|0.0|0.0|12.87|23.98|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:17:00|0.15|0.0|0.0|12.88|24.0|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:18:00|0.15|0.0|0.0|12.88|24.0|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:19:00|0.16|0.0|0.0|12.87|24.0|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:20:00|0.16|0.0|0.0|12.87|23.99|0.0|28.4|40.5|mo____|16.6|65|0|2.0|1016.0|0.0|15
2019-08-02|00:21:00|0.16|0.0|0.0|12.87|23.98|0.0|28.4|40.5|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:22:00|0.16|0.0|0.0|12.87|24.02|0.0|28.4|40.6|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:23:00|0.16|0.0|0.0|12.87|24.0|0.0|28.4|40.6|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:24:00|0.17|0.0|0.0|12.87|24.02|0.0|28.4|40.6|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:25:00|0.15|0.0|0.0|12.87|23.97|0.0|28.4|40.6|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:26:00|0.16|0.0|0.0|12.87|24.03|0.0|28.4|40.6|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:27:00|0.15|0.0|0.0|12.87|24.01|0.0|28.4|40.6|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:28:00|0.16|0.0|0.0|12.87|24.01|0.0|28.4|40.6|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:29:00|0.16|0.0|0.0|12.87|24.01|0.0|28.4|40.6|mb____|16.4|65|0|2.0|1016.0|0.0|25
2019-08-02|00:30:00|0.18|0.0|0.0|12.87|24.02|0.0|28.4|40.7|mb____|17.0|65|0|2.0|1016.0|0.0|25
2019-08-02|00:31:00|0.15|0.0|0.0|12.87|23.99|0.0|28.4|40.6|mb____|17.0|65|0|2.0|1016.0|0.0|25
2019-08-02|00:32:00|0.18|0.0|0.0|12.87|24.02|0.0|28.4|40.7|mb____|17.0|65|0|2.0|1016.0|0.0|25
2019-08-02|00:33:00|0.14|0.0|0.0|12.87|23.98|0.0|28.4|40.7|mb____|17.0|65|0|2.0|1016.0|0.0|25
