Date|Time|Voltage(V)|Current(A)|Power(W)|Battery Voltage(V)|Ambient Temp.(°C)|Light Int.(lux)|Temperature sensor(°C)|Humidity sensor(RH)|Weather condition|Temperature WetterOnline(°C)|Humidity WetterOnline(RH)|Global radiation(W/m^2)|Wind's speed(m/s)|Ground pressure(hPa)|Rainfall(mm)|Rainfall's possibility(%)|Wind's direction(°)|Wind's cardinal direction|Wind's speed(Beaufort)|Wind gust(Beaufort)|Wind gust(km/h)|Feel-like temperature|Azimuth|Elevation
2019-10-13|00:00:00|0.32|0.0|0.0|13.15|21.23|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:01:00|0.31|0.0|0.0|13.15|21.22|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:02:00|0.37|0.0|0.0|13.15|21.23|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:03:00|0.37|0.0|0.0|13.15|21.23|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:04:00|0.37|0.0|0.0|13.15|21.24|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:05:00|0.38|0.0|0.0|13.15|21.18|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:06:00|0.3|0.0|0.0|13.15|21.25|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:07:00|0.38|0.0|0.0|13.15|21.21|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:08:00|0.37|0.0|0.0|13.15|21.23|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
2019-10-13|00:09:00|0.37|0.0|0.0|13.15|21.21|0.171|25.3|37.1|mb____|11.0|90|0|1.8|1018.2|0.0|25|230|sw|2|3|13|11.0|0.00|0.00
